Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,Library Name,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,BioSampleModel,geo_loc_name,analyte_type,biospecimen_repository,biospecimen_repository_sample_id,body_site,Consent code,dbGaP accession,histological_type,is_tumor,study_design,study_name,submitted_subject_id,HOST,tissue,lat_lon,Sample_name,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),environment_(biome),environment_(feature),environment_(material),external_id,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),human_vaginal_environmental_package,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,investigation_type,project_name,Sequencing_method,Submitter_Id,Cohort,env_broad_scale,env_local_scale,env_medium,ETHNICITY,host_age,Menses,pregnant,subject,timepoint,vaginal_ph,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,scientific_name,sex,isolate,AGE,source_name,BREED,treatment,BIOMATERIAL_PROVIDER,strain,JGI_accession,cell_line,isolation_source,cell_type,ENA_first_public,ENA_last_update,Sample_ID,replicate,genotype,GEO_Accession (exp),infection,dev_stage,Sample_inf,animal_id,Gestation_day,sample_type,sub_species,Cultivar,Ecotype,agent,host_diabetic_status,mouse_strain,time,time_point,culture_collection,host_tissue_sampled,donor_id,lab,animal_age_at_collection,brca_genotype,collected_by,Developmental_stage,fasted_status,health_status_at_collection,host_disease,material,Organism_part,Project,specimen_collection_date,specimen_collection_protocol,tumor_source_tissue,tumor_type,individual
SRR22456964,RNA-Seq,150,1830644817,PRJNA906635,SAMN31934944,772074509,ABBVIE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18425441,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca fascicularis,ILLUMINA,2022-12-12T00:00:00Z,2022-11-30T01:54:00Z,1,GSM6766142,SRP410543,GSM6766142,,,,,,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,Vagina,,untreated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR22456965,RNA-Seq,150,1819589935,PRJNA906635,SAMN31934944,765546946,ABBVIE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX18425441,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Macaca fascicularis,ILLUMINA,2022-12-12T00:00:00Z,2022-11-30T01:55:00Z,1,GSM6766142,SRP410543,GSM6766142,,,,,,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,,,Vagina,,untreated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR25113986,RNA-Seq,101,4749593869,PRJNA990648,SAMN36272295,1652498687,BAYLOR COLLEGE OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20866993,NextSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-07-05T00:00:00Z,2023-07-03T09:50:00Z,1,GSM7528160,SRP447085,GSM7528160,missing,uncalculated,uncalculated,,missing,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,Group b Streptococcus A909,control,C57BL/6J,,,,,,,,,,,,,,,,,,,,,
SRR25113990,RNA-Seq,101,4483204066,PRJNA990648,SAMN36272299,1559999785,BAYLOR COLLEGE OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20866989,NextSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-07-05T00:00:00Z,2023-07-03T09:59:00Z,1,GSM7528156,SRP447085,GSM7528156,missing,uncalculated,uncalculated,,missing,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,Group b Streptococcus A909,control,C57BL/6J,,,,,,,,,,,,,,,,,,,,,
SRR25113978,RNA-Seq,101,4879457790,PRJNA990648,SAMN36272287,1694073483,BAYLOR COLLEGE OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20867001,NextSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-07-05T00:00:00Z,2023-07-03T09:50:00Z,1,GSM7528168,SRP447085,GSM7528168,missing,uncalculated,uncalculated,,missing,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,Group b Streptococcus A909,Gestational diabetes,C57BL/6J,,,,,,,,,,,,,,,,,,,,,
SRR25113980,RNA-Seq,101,4750472144,PRJNA990648,SAMN36272289,1665528743,BAYLOR COLLEGE OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20866999,NextSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-07-05T00:00:00Z,2023-07-03T09:47:00Z,1,GSM7528166,SRP447085,GSM7528166,missing,uncalculated,uncalculated,,missing,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,Group b Streptococcus A909,Gestational diabetes,C57BL/6J,,,,,,,,,,,,,,,,,,,,,
SRR25113982,RNA-Seq,101,4704887934,PRJNA990648,SAMN36272291,1630426360,BAYLOR COLLEGE OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20866997,NextSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-07-05T00:00:00Z,2023-07-03T09:51:00Z,1,GSM7528164,SRP447085,GSM7528164,missing,uncalculated,uncalculated,,missing,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,Group b Streptococcus A909,Gestational diabetes,C57BL/6J,,,,,,,,,,,,,,,,,,,,,
SRR25113984,RNA-Seq,101,4262795945,PRJNA990648,SAMN36272293,1487601088,BAYLOR COLLEGE OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20866995,NextSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-07-05T00:00:00Z,2023-07-03T09:46:00Z,1,GSM7528162,SRP447085,GSM7528162,missing,uncalculated,uncalculated,,missing,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,Group b Streptococcus A909,Gestational diabetes,C57BL/6J,,,,,,,,,,,,,,,,,,,,,
SRR25113988,RNA-Seq,101,4516506897,PRJNA990648,SAMN36272297,1576212839,BAYLOR COLLEGE OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20866991,NextSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-07-05T00:00:00Z,2023-07-03T09:49:00Z,1,GSM7528158,SRP447085,GSM7528158,missing,uncalculated,uncalculated,,missing,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,Group b Streptococcus A909,control,C57BL/6J,,,,,,,,,,,,,,,,,,,,,
SRR25113992,RNA-Seq,101,4630965829,PRJNA990648,SAMN36272301,1603634072,BAYLOR COLLEGE OF MEDICINE,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20866987,NextSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2023-07-05T00:00:00Z,2023-07-03T09:49:00Z,1,GSM7528154,SRP447085,GSM7528154,missing,uncalculated,uncalculated,,missing,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,Group b Streptococcus A909,control,C57BL/6J,,,,,,,,,,,,,,,,,,,,,
SRR24889001,RNA-Seq,202,5134991500,PRJNA982281,SAMN35690089,1657633914,UNIVERSITY OF CALIFORNIA SAN DIEGO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20651289,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-12-01T00:00:00Z,2023-06-10T01:35:00Z,1,VK2 vaginal epithelial cells,SRP442552,VK2_Pet28a_PolyB25_2h_10,2/12/21,USA,North America,Human,USA: Boston,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,Female patient undergoing a hysterectomy for endometriosis,32,,,,ATCC,,,VK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR24889002,RNA-Seq,202,5451689120,PRJNA982281,SAMN35690089,1786137219,UNIVERSITY OF CALIFORNIA SAN DIEGO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20651288,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-12-01T00:00:00Z,2023-06-10T01:43:00Z,1,VK2 vaginal epithelial cells,SRP442552,VK2_Pet28a_PolyB25_2h_9,2/12/21,USA,North America,Human,USA: Boston,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,Female patient undergoing a hysterectomy for endometriosis,32,,,,ATCC,,,VK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR24889003,RNA-Seq,202,7277263312,PRJNA982281,SAMN35690089,2342249174,UNIVERSITY OF CALIFORNIA SAN DIEGO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20651287,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-12-01T00:00:00Z,2023-06-10T01:49:00Z,1,VK2 vaginal epithelial cells,SRP442552,VK2_NanH2_PolyB25_1h_8,2/12/21,USA,North America,Human,USA: Boston,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,Female patient undergoing a hysterectomy for endometriosis,32,,,,ATCC,,,VK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR24889004,RNA-Seq,202,6619052776,PRJNA982281,SAMN35690089,2140280073,UNIVERSITY OF CALIFORNIA SAN DIEGO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20651286,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-12-01T00:00:00Z,2023-06-10T01:43:00Z,1,VK2 vaginal epithelial cells,SRP442552,VK2_NanH2_PolyB25_1h_7,2/12/21,USA,North America,Human,USA: Boston,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,Female patient undergoing a hysterectomy for endometriosis,32,,,,ATCC,,,VK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR24889005,RNA-Seq,202,6200753398,PRJNA982281,SAMN35690089,2011993422,UNIVERSITY OF CALIFORNIA SAN DIEGO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20651285,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-12-01T00:00:00Z,2023-06-10T01:45:00Z,1,VK2 vaginal epithelial cells,SRP442552,VK2_NanH2_PolyB25_1h_6,2/12/21,USA,North America,Human,USA: Boston,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,Female patient undergoing a hysterectomy for endometriosis,32,,,,ATCC,,,VK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR24889006,RNA-Seq,202,6770060098,PRJNA982281,SAMN35690089,2189834740,UNIVERSITY OF CALIFORNIA SAN DIEGO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20651284,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-12-01T00:00:00Z,2023-06-10T01:41:00Z,1,VK2 vaginal epithelial cells,SRP442552,VK2_NanH2_PolyB25_1h_5,2/12/21,USA,North America,Human,USA: Boston,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,Female patient undergoing a hysterectomy for endometriosis,32,,,,ATCC,,,VK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR24889007,RNA-Seq,202,4768785902,PRJNA982281,SAMN35690089,1538676572,UNIVERSITY OF CALIFORNIA SAN DIEGO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20651283,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-12-01T00:00:00Z,2023-06-10T01:40:00Z,1,VK2 vaginal epithelial cells,SRP442552,VK2_NanH2_PolyB25_2h_4,2/12/21,USA,North America,Human,USA: Boston,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,Female patient undergoing a hysterectomy for endometriosis,32,,,,ATCC,,,VK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR24889008,RNA-Seq,202,5445918586,PRJNA982281,SAMN35690089,1769517873,UNIVERSITY OF CALIFORNIA SAN DIEGO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20651282,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-12-01T00:00:00Z,2023-06-10T01:46:00Z,1,VK2 vaginal epithelial cells,SRP442552,VK2_NanH2_PolyB25_2h_3,2/12/21,USA,North America,Human,USA: Boston,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,Female patient undergoing a hysterectomy for endometriosis,32,,,,ATCC,,,VK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR24889009,RNA-Seq,202,5694088312,PRJNA982281,SAMN35690089,1850353574,UNIVERSITY OF CALIFORNIA SAN DIEGO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20651281,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-12-01T00:00:00Z,2023-06-10T01:44:00Z,1,VK2 vaginal epithelial cells,SRP442552,VK2_Pet28a_PolyB25_2h_12,2/12/21,USA,North America,Human,USA: Boston,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,Female patient undergoing a hysterectomy for endometriosis,32,,,,ATCC,,,VK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR24889010,RNA-Seq,202,6254589226,PRJNA982281,SAMN35690089,2026620881,UNIVERSITY OF CALIFORNIA SAN DIEGO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20651280,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-12-01T00:00:00Z,2023-06-10T01:42:00Z,1,VK2 vaginal epithelial cells,SRP442552,VK2_Pet28a_PolyB25_2h_11,2/12/21,USA,North America,Human,USA: Boston,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,Female patient undergoing a hysterectomy for endometriosis,32,,,,ATCC,,,VK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR24889011,RNA-Seq,202,7618153260,PRJNA982281,SAMN35690089,2449099596,UNIVERSITY OF CALIFORNIA SAN DIEGO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20651279,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-12-01T00:00:00Z,2023-06-10T01:52:00Z,1,VK2 vaginal epithelial cells,SRP442552,VK2_NanH2_PolyB25_2h_2,2/12/21,USA,North America,Human,USA: Boston,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,Female patient undergoing a hysterectomy for endometriosis,32,,,,ATCC,,,VK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR24889012,RNA-Seq,202,5591503622,PRJNA982281,SAMN35690089,1804081785,UNIVERSITY OF CALIFORNIA SAN DIEGO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX20651278,Illumina NovaSeq 6000,PAIRED,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-12-01T00:00:00Z,2023-06-10T01:39:00Z,1,VK2 vaginal epithelial cells,SRP442552,VK2_NanH2_PolyB25_2h_1,2/12/21,USA,North America,Human,USA: Boston,,,,,,,,,,,,,Vagina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,female,Female patient undergoing a hysterectomy for endometriosis,32,,,,ATCC,,,VK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
